query_id,doc_id,method,chunk_id,label_0_1_2,rationale,annotator,status
Q001,DOC01_BIK,element,4,2,score=0.651 hits=4/5 pages=[7] page_match=True ev_type=paragraph | preview: KATA PENGANTAR  selaras antara hasil Survei Perusahaan Konstruksi Triwulanan dan Survei Perusahaan Konstruksi Tahunan. M,auto,auto_labeled_needs_validation
Q001,DOC01_BIK,element,43,1,score=0.489 hits=4/5 pages=[25] page_match=False ev_type=paragraph | preview: 2.2.4 Benchmark Indeks Konstruksi  Benchmarking merupakan suatu teknik yang berkaitan dengan cara pengkombinasian data d,auto,auto_labeled_needs_validation
Q001,DOC01_BIK,element,19,1,score=0.426 hits=3/5 pages=[19] page_match=False ev_type=paragraph | preview: LATAR BELAKANG  Publikasi Benchmark Indeks Konstruksi bertujuan untuk menunjukkan perubahan atau pertumbuhan dari kegiat,auto,auto_labeled_needs_validation
Q001,DOC01_BIK,element,20,1,score=0.346 hits=2/5 pages=[19] page_match=False ev_type=paragraph | preview: RUANG LINGKUP  Statistik konstruksi yang dijadikan sebagai dasar data benchmarking ini adalah hasil Survei Perusahaan Ko,auto,auto_labeled_needs_validation
Q001,DOC01_BIK,element,33,1,"score=0.320 hits=2/5 pages=[21,22] page_match=False ev_type=paragraph | preview: 1. Sample  Annual Construction Establishment Survey covers construction establishments operating in Indonesia.  In 2023 ",auto,auto_labeled_needs_validation
Q001,DOC01_BIK,element,7,1,score=0.299 hits=2/5 pages=[9] page_match=False ev_type=paragraph | preview: Kata Pengantar/Preface “.ooooooooooooooooooooooooooooooooWooo om mmunnnnannnnnnanaan Daftar ISi/CONtents ..ooooooooooooo,auto,auto_labeled_needs_validation
Q001,DOC01_BIK,element,30,1,score=0.228 hits=1/5 pages=[21] page_match=False ev_type=paragraph | preview: 1. Sampel  Survei Perusahaan Konstruksi Tahunan mencakup badan usaha konstruksi yang beroperasi di Indonesia.  Pada kegi,auto,auto_labeled_needs_validation
Q001,DOC01_BIK,element,42,1,score=0.227 hits=1/5 pages=[24] page_match=False ev_type=paragraph | preview: 2.2.3 Growth Rate  Pertumbuhan menunjukkan pergerakan agregat yang berfluktuasi dari satu waktu tertentu terhadap waktu ,auto,auto_labeled_needs_validation
Q001,DOC01_BIK,element,2,1,"score=0.210 hits=1/5 pages=[4] page_match=False ev_type=paragraph | preview: BENCHMARK INDEKS KONSTRUKSI (2016-100), Benchmark of Construction Indices (2016-100), 2018-2023  Volume 14, 2025  Katalo",auto,auto_labeled_needs_validation
Q001,DOC01_BIK,element,214,1,"score=0.194 hits=1/5 pages=[119,123,124,125] page_match=False ev_type=paragraph | preview: DAFTAR PUSTAKA Bibliography  Badan Pusat Statistik. 2021. Pedoman Survei Konstruksi 2022. Jakarta: BPS. Badan Pusat Stat",auto,auto_labeled_needs_validation
