top_k,method,method_short,row_count,evaluated_retrieval,precision_at_k,recall_at_k,mrr,f1_at_k,bleu,rouge_l,missing_precision_at_k,missing_recall_at_k,missing_mrr,missing_bleu,missing_rouge_l
1,Element-Based,Element,30,28,0.285714,0.199404,0.285714,0.234881,0.154183,0.626993,2,2,2,0,0
1,Max-Min Semantic,MaxMin,30,29,0.206897,0.126434,0.206897,0.156954,0.125193,0.601290,1,1,1,0,0
1,Recursive,Recursive,30,29,0.344828,0.148848,0.344828,0.207938,0.142553,0.640597,1,1,1,0,0
2,Element-Based,Element,30,28,0.178571,0.244046,0.303571,0.206237,0.129923,0.691790,2,2,2,0,0
2,Max-Min Semantic,MaxMin,30,29,0.206897,0.267241,0.293103,0.233229,0.122383,0.623723,1,1,1,0,0
2,Recursive,Recursive,30,29,0.275862,0.260345,0.396552,0.267879,0.142047,0.673467,1,1,1,0,0
3,Element-Based,Element,30,28,0.142846,0.297618,0.327379,0.193040,0.110457,0.675373,2,2,2,0,0
3,Max-Min Semantic,MaxMin,30,29,0.160907,0.318966,0.316090,0.213906,0.119797,0.657727,1,1,1,0,0
3,Recursive,Recursive,30,29,0.183900,0.260345,0.396552,0.215545,0.144797,0.701823,1,1,1,0,0
4,Element-Based,Element,30,28,0.151786,0.374404,0.354164,0.216003,0.112823,0.664417,2,2,2,0,0
4,Max-Min Semantic,MaxMin,30,29,0.146552,0.394828,0.341952,0.213760,0.117557,0.661390,1,1,1,0,0
4,Recursive,Recursive,30,29,0.163793,0.329310,0.422414,0.218773,0.145480,0.678120,1,1,1,0,0
5,Element-Based,Element,30,28,0.128571,0.392261,0.354164,0.193665,0.117820,0.700500,2,2,2,0,0
5,Max-Min Semantic,MaxMin,30,29,0.131034,0.446552,0.348848,0.202615,0.105230,0.636907,1,1,1,0,0
5,Recursive,Recursive,30,29,0.144828,0.352297,0.429310,0.205270,0.144010,0.683813,1,1,1,0,0
6,Element-Based,Element,30,28,0.125011,0.451786,0.366071,0.195834,0.101920,0.692733,2,2,2,0,0
6,Max-Min Semantic,MaxMin,30,29,0.120707,0.492528,0.354597,0.193895,0.112890,0.646470,1,1,1,0,0
6,Recursive,Recursive,30,29,0.143693,0.413793,0.440807,0.213312,0.138537,0.682297,1,1,1,0,0
7,Element-Based,Element,30,28,0.112261,0.469643,0.366071,0.181207,0.123557,0.705253,2,2,2,0,0
7,Max-Min Semantic,MaxMin,30,29,0.103472,0.492528,0.354597,0.171017,0.114757,0.649143,1,1,1,0,0
7,Recursive,Recursive,30,29,0.128100,0.420690,0.440807,0.196397,0.132977,0.673340,1,1,1,0,0
8,Element-Based,Element,30,28,0.107143,0.517261,0.375000,0.177516,0.116230,0.699440,2,2,2,0,0
8,Max-Min Semantic,MaxMin,30,29,0.094828,0.509769,0.354597,0.159909,0.123070,0.657277,1,1,1,0,0
8,Recursive,Recursive,30,29,0.112069,0.420690,0.440807,0.176989,0.132300,0.685640,1,1,1,0,0
9,Element-Based,Element,30,28,0.095229,0.517261,0.375000,0.160845,0.113730,0.692557,2,2,2,0,0
9,Max-Min Semantic,MaxMin,30,29,0.088114,0.527010,0.358428,0.150984,0.111610,0.665870,1,1,1,0,0
9,Recursive,Recursive,30,29,0.099607,0.420690,0.440807,0.161076,0.148453,0.674510,1,1,1,0,0
10,Element-Based,Element,30,28,0.089286,0.529164,0.378571,0.152791,0.107893,0.682813,2,2,2,0,0
10,Max-Min Semantic,MaxMin,30,29,0.082759,0.544252,0.361876,0.143671,0.114960,0.663827,1,1,1,0,0
10,Recursive,Recursive,30,29,0.096552,0.437931,0.440807,0.158220,0.133400,0.693773,1,1,1,0,0
