method,top_k,row_count,mean_precision_at_k,mean_recall_at_k,mean_mrr,mean_bleu,mean_rouge_l,missing_precision_at_k,missing_recall_at_k,missing_mrr,missing_bleu,missing_rouge_l
Element-Based,5,30,0.128571,0.392261,0.354164,0.117820,0.700500,2,2,2,0,0
MaxMin Semantic,5,30,0.131034,0.446552,0.348848,0.105230,0.636907,1,1,1,0,0
Recursive,5,30,0.144828,0.352297,0.429310,0.144010,0.683813,1,1,1,0,0
Element-Based,6,30,0.125011,0.451786,0.366071,0.101920,0.692733,2,2,2,0,0
MaxMin Semantic,6,30,0.120707,0.492528,0.354597,0.112890,0.646470,1,1,1,0,0
Recursive,6,30,0.143693,0.413793,0.440807,0.138537,0.682297,1,1,1,0,0
Element-Based,7,30,0.112261,0.469643,0.366071,0.123557,0.705253,2,2,2,0,0
MaxMin Semantic,7,30,0.103472,0.492528,0.354597,0.114757,0.649143,1,1,1,0,0
Recursive,7,30,0.128100,0.420690,0.440807,0.132977,0.673340,1,1,1,0,0
Element-Based,8,30,0.107143,0.517261,0.375000,0.116230,0.699440,2,2,2,0,0
MaxMin Semantic,8,30,0.094828,0.509769,0.354597,0.123070,0.657277,1,1,1,0,0
Recursive,8,30,0.112069,0.420690,0.440807,0.132300,0.685640,1,1,1,0,0
Element-Based,9,30,0.095229,0.517261,0.375000,0.113730,0.692557,2,2,2,0,0
MaxMin Semantic,9,30,0.088114,0.527010,0.358428,0.111610,0.665870,1,1,1,0,0
Recursive,9,30,0.099607,0.420690,0.440807,0.148453,0.674510,1,1,1,0,0
Element-Based,10,30,0.089286,0.529164,0.378571,0.107893,0.682813,2,2,2,0,0
MaxMin Semantic,10,30,0.082759,0.544252,0.361876,0.114960,0.663827,1,1,1,0,0
Recursive,10,30,0.096552,0.437931,0.440807,0.133400,0.693773,1,1,1,0,0
