top_k,method,Precision@k,Recall@k,MRR,BLEU,ROUGE-L
1,Element-Based,0.2857,0.1994,0.2857,0.1542,0.627
1,MaxMin Semantic,0.2069,0.1264,0.2069,0.1252,0.6013
1,Recursive,0.3448,0.1488,0.3448,0.1426,0.6406
2,Element-Based,0.1786,0.244,0.3036,0.1299,0.6918
2,MaxMin Semantic,0.2069,0.2672,0.2931,0.1224,0.6237
2,Recursive,0.2759,0.2603,0.3966,0.142,0.6735
3,Element-Based,0.1428,0.2976,0.3274,0.1105,0.6754
3,MaxMin Semantic,0.1609,0.319,0.3161,0.1198,0.6577
3,Recursive,0.1839,0.2603,0.3966,0.1448,0.7018
4,Element-Based,0.1518,0.3744,0.3542,0.1128,0.6644
4,MaxMin Semantic,0.1466,0.3948,0.342,0.1176,0.6614
4,Recursive,0.1638,0.3293,0.4224,0.1455,0.6781
5,Element-Based,0.1286,0.3923,0.3542,0.1178,0.7005
5,MaxMin Semantic,0.131,0.4466,0.3488,0.1052,0.6369
5,Recursive,0.1448,0.3523,0.4293,0.144,0.6838
6,Element-Based,0.125,0.4518,0.3661,0.1019,0.6927
6,MaxMin Semantic,0.1207,0.4925,0.3546,0.1129,0.6465
6,Recursive,0.1437,0.4138,0.4408,0.1385,0.6823
7,Element-Based,0.1123,0.4696,0.3661,0.1236,0.7053
7,MaxMin Semantic,0.1035,0.4925,0.3546,0.1148,0.6491
7,Recursive,0.1281,0.4207,0.4408,0.133,0.6733
8,Element-Based,0.1071,0.5173,0.375,0.1162,0.6994
8,MaxMin Semantic,0.0948,0.5098,0.3546,0.1231,0.6573
8,Recursive,0.1121,0.4207,0.4408,0.1323,0.6856
9,Element-Based,0.0952,0.5173,0.375,0.1137,0.6926
9,MaxMin Semantic,0.0881,0.527,0.3584,0.1116,0.6659
9,Recursive,0.0996,0.4207,0.4408,0.1485,0.6745
10,Element-Based,0.0893,0.5292,0.3786,0.1079,0.6828
10,MaxMin Semantic,0.0828,0.5443,0.3619,0.115,0.6638
10,Recursive,0.0966,0.4379,0.4408,0.1334,0.6938
