Top-k,Element,MaxMin,Recursive
1,0.2857142857142857,0.20689655172413793,0.3448275862068966
2,0.17857142857142858,0.20689655172413793,0.27586206896551724
3,0.14284642857142857,0.16090689655172413,0.1839
4,0.15178571428571427,0.14655172413793102,0.16379310344827586
5,0.1285714285714286,0.1310344827586207,0.14482758620689656
6,0.12501071428571428,0.12070689655172413,0.14369310344827585
7,0.11226071428571428,0.10347241379310346,0.1281
8,0.10714285714285714,0.09482758620689655,0.11206896551724138
9,0.09522857142857144,0.08811379310344827,0.09960689655172414
10,0.08928571428571429,0.08275862068965517,0.09655172413793105
