Top-k,Element,MaxMin,Recursive
1,0.1994035714285714,0.12643448275862068,0.14884827586206897
2,0.24404642857142855,0.2672413793103448,0.2603448275862069
3,0.2976178571428571,0.31896551724137934,0.2603448275862069
4,0.37440357142857145,0.3948275862068965,0.32931034482758625
5,0.3922607142857143,0.446551724137931,0.35229655172413793
6,0.4517857142857143,0.4925275862068966,0.41379310344827586
7,0.46964285714285714,0.4925275862068966,0.42068965517241375
8,0.5172607142857143,0.5097689655172414,0.42068965517241375
9,0.5172607142857143,0.5270103448275862,0.42068965517241375
10,0.5291642857142856,0.5442517241379311,0.4379310344827586
