Top-k,Element,MaxMin,Recursive
1,0.2857142857142857,0.20689655172413793,0.3448275862068966
2,0.30357142857142855,0.29310344827586204,0.39655172413793105
3,0.3273785714285714,0.3160896551724138,0.39655172413793105
4,0.35416428571428565,0.341951724137931,0.4224137931034483
5,0.35416428571428565,0.34884827586206896,0.4293103448275862
6,0.36607142857142855,0.35459655172413795,0.44080689655172417
7,0.36607142857142855,0.35459655172413795,0.44080689655172417
8,0.375,0.35459655172413795,0.44080689655172417
9,0.375,0.3584275862068965,0.44080689655172417
10,0.37857142857142856,0.36187586206896555,0.44080689655172417
