Top-k,Element,MaxMin,Recursive
1,0.1541833333333333,0.12519333333333332,0.14255333333333334
2,0.12992333333333334,0.12238333333333333,0.14204666666666668
3,0.11045666666666666,0.11979666666666668,0.14479666666666666
4,0.11282333333333333,0.11755666666666667,0.14548
5,0.11782000000000001,0.10522999999999999,0.14401
6,0.10192,0.11288999999999999,0.13853666666666667
7,0.12355666666666668,0.11475666666666666,0.13297666666666666
8,0.11623,0.12307,0.1323
9,0.11373000000000001,0.11161,0.14845333333333333
10,0.10789333333333333,0.11495999999999999,0.1334
