Top-k,Element,MaxMin,Recursive
1,0.6269933333333333,0.60129,0.6405966666666667
2,0.6917899999999999,0.6237233333333333,0.6734666666666667
3,0.6753733333333333,0.6577266666666667,0.7018233333333334
4,0.6644166666666667,0.66139,0.67812
5,0.7005,0.6369066666666666,0.6838133333333333
6,0.6927333333333333,0.6464700000000001,0.6822966666666667
7,0.7052533333333333,0.6491433333333333,0.6733399999999999
8,0.69944,0.6572766666666666,0.6856399999999999
9,0.6925566666666667,0.66587,0.6745099999999999
10,0.6828133333333334,0.6638266666666667,0.6937733333333334
