Metode Chunking,Top-k,BLEU,ROUGE-L
Element-Based Chunking,1,0.154,0.627
Element-Based Chunking,2,0.130,0.692
Element-Based Chunking,3,0.110,0.675
Element-Based Chunking,4,0.113,0.664
Element-Based Chunking,5,0.118,0.700
Element-Based Chunking,6,0.102,0.693
Element-Based Chunking,7,0.124,0.705
Element-Based Chunking,8,0.116,0.699
Element-Based Chunking,9,0.114,0.693
Element-Based Chunking,10,0.108,0.683
Max-Min Semantic Chunking,1,0.125,0.601
Max-Min Semantic Chunking,2,0.122,0.624
Max-Min Semantic Chunking,3,0.120,0.658
Max-Min Semantic Chunking,4,0.118,0.661
Max-Min Semantic Chunking,5,0.105,0.637
Max-Min Semantic Chunking,6,0.113,0.646
Max-Min Semantic Chunking,7,0.115,0.649
Max-Min Semantic Chunking,8,0.123,0.657
Max-Min Semantic Chunking,9,0.112,0.666
Max-Min Semantic Chunking,10,0.115,0.664
Recursive Chunking,1,0.143,0.641
Recursive Chunking,2,0.142,0.673
Recursive Chunking,3,0.145,0.702
Recursive Chunking,4,0.145,0.678
Recursive Chunking,5,0.144,0.684
Recursive Chunking,6,0.139,0.682
Recursive Chunking,7,0.133,0.673
Recursive Chunking,8,0.132,0.686
Recursive Chunking,9,0.148,0.675
Recursive Chunking,10,0.133,0.694
