Top-k,Element,MaxMin,Recursive
1,0.2857142857142857,0.20689655172413793,0.3448275862068966
2,0.17857142857142858,0.20689655172413793,0.27586206896551724
3,0.14284642857142857,0.16090689655172413,0.1839
4,0.15178571428571427,0.14655172413793102,0.16379310344827586
5,0.1285714285714286,0.1310344827586207,0.14482758620689656
6,0.12501071428571428,0.12070689655172413,0.14369310344827585
7,0.11226071428571428,0.10347241379310346,0.1281
8,0.10714285714285714,0.09482758620689655,0.11206896551724138
9,0.09522857142857144,0.08811379310344827,0.09960689655172414
10,0.08928571428571429,0.08275862068965517,0.09655172413793105
11,0.08765357142857143,0.07836206896551724,0.09716896551724137
12,0.08927142857142857,0.0747,0.09194137931034484
13,0.0824,0.07425172413793103,0.08486896551724138
14,0.08162857142857143,0.07142068965517243,0.07880689655172414
15,0.0762,0.06667931034482759,0.07587241379310344
16,0.07142857142857142,0.0625,0.07327586206896551
17,0.06720714285714285,0.06083448275862069,0.06895172413793103
18,0.06549285714285714,0.059410344827586205,0.07282068965517242
19,0.062025000000000004,0.05806896551724138,0.0725896551724138
20,0.058928571428571434,0.055172413793103454,0.06896551724137931
