Top-k,Element,MaxMin,Recursive
1,0.1994035714285714,0.12643448275862068,0.14884827586206897
2,0.24404642857142855,0.2672413793103448,0.2603448275862069
3,0.2976178571428571,0.31896551724137934,0.2603448275862069
4,0.37440357142857145,0.3948275862068965,0.32931034482758625
5,0.3922607142857143,0.446551724137931,0.35229655172413793
6,0.4517857142857143,0.4925275862068966,0.41379310344827586
7,0.46964285714285714,0.4925275862068966,0.42068965517241375
8,0.5172607142857143,0.5097689655172414,0.42068965517241375
9,0.5172607142857143,0.5270103448275862,0.42068965517241375
10,0.5291642857142856,0.5442517241379311,0.4379310344827586
11,0.5767857142857142,0.5614931034482759,0.4620689655172414
12,0.6095214285714287,0.5729896551724138,0.4689655172413793
13,0.6095214285714287,0.6247137931034483,0.4689655172413793
14,0.6285714285714287,0.6591965517241379,0.4689655172413793
15,0.6285714285714287,0.6591965517241379,0.4862068965517241
16,0.6285714285714287,0.6591965517241379,0.4977034482758621
17,0.6285714285714287,0.6706896551724137,0.4977034482758621
18,0.6404785714285713,0.6879310344827586,0.5609206896551724
19,0.6404785714285713,0.6948275862068966,0.5850586206896552
20,0.6404785714285713,0.6948275862068966,0.5850586206896552
