Top-k,Element,MaxMin,Recursive
1,0.1541833333333333,0.12519333333333332,0.14255333333333334
2,0.12992333333333334,0.12238333333333333,0.14204666666666668
3,0.11045666666666666,0.11979666666666668,0.14479666666666666
4,0.11282333333333333,0.11755666666666667,0.14548
5,0.11782000000000001,0.10522999999999999,0.14401
6,0.10192,0.11288999999999999,0.13853666666666667
7,0.12355666666666668,0.11475666666666666,0.13297666666666666
8,0.11623,0.12307,0.1323
9,0.11373000000000001,0.11161,0.14845333333333333
10,0.10789333333333333,0.11495999999999999,0.1334
11,0.11501666666666667,0.11416333333333334,0.13631
12,0.13230333333333333,0.10914666666666667,0.14766333333333334
13,0.11677666666666667,0.11176333333333334,0.14222666666666667
14,0.11770666666666667,0.11160666666666666,0.14880333333333334
15,0.1191,0.11591,0.13653666666666667
16,0.11666333333333333,0.12335333333333334,0.13926666666666668
17,0.10476333333333333,0.11104666666666667,0.13842333333333334
18,0.11655333333333333,0.10481666666666666,0.13617333333333334
19,0.11224333333333332,0.11394333333333333,0.14535333333333333
20,0.11478000000000001,0.11505333333333333,0.13088666666666668
