Top-k,Element,MaxMin,Recursive
1,0.6269933333333333,0.60129,0.6405966666666667
2,0.6917899999999999,0.6237233333333333,0.6734666666666667
3,0.6753733333333333,0.6577266666666667,0.7018233333333334
4,0.6644166666666667,0.66139,0.67812
5,0.7005,0.6369066666666666,0.6838133333333333
6,0.6927333333333333,0.6464700000000001,0.6822966666666667
7,0.7052533333333333,0.6491433333333333,0.6733399999999999
8,0.69944,0.6572766666666666,0.6856399999999999
9,0.6925566666666667,0.66587,0.6745099999999999
10,0.6828133333333334,0.6638266666666667,0.6937733333333334
11,0.7059166666666666,0.65827,0.6853633333333333
12,0.70884,0.66028,0.6939333333333334
13,0.7056133333333333,0.65737,0.6885899999999999
14,0.7045166666666667,0.6530533333333334,0.6849133333333334
15,0.7009000000000001,0.66249,0.6938300000000001
16,0.6964766666666667,0.6571333333333332,0.6939633333333333
17,0.7096300000000001,0.6544833333333333,0.6840866666666667
18,0.70305,0.6554166666666668,0.6823899999999999
19,0.7232500000000001,0.65392,0.7184266666666667
20,0.7062833333333334,0.6672933333333333,0.6892766666666666
