method,top_k,n,n_queries,n_success,n_retrieval_evaluated,n_timed,mean_precision,mean_recall,mean_mrr,mean_f1,mean_bleu,mean_rouge_l,mean_retrieval_seconds,median_retrieval_seconds,std_retrieval_seconds,mean_generation_seconds,median_generation_seconds,std_generation_seconds,mean_total_response_seconds,median_total_response_seconds,std_total_response_seconds
Element-Based,1,30,30,30,28,30,0.2857,0.1994,0.2857,0.2226,0.1582,0.6327,0.0036,0.0034,0.0007,4.0025,3.1858,3.0142,4.0064,3.1897,3.0143
MaxMin Semantic,1,30,30,30,29,30,0.2069,0.1264,0.2069,0.1494,0.1298,0.6145,0.0039,0.0036,0.0011,5.6132,3.9812,9.2735,5.6172,3.9853,9.2744
Recursive,1,30,30,30,29,30,0.3448,0.1488,0.3448,0.1977,0.1529,0.6344,0.0037,0.0036,0.0005,3.5497,2.9617,1.8654,3.5534,2.9654,1.8655
Element-Based,2,27,27,27,26,27,0.1538,0.2436,0.2885,0.1821,0.111,0.7039,0.0038,0.0037,0.0006,6.2638,4.6378,4.9421,6.2683,4.6414,4.9418
MaxMin Semantic,2,26,26,26,26,26,0.1731,0.2532,0.2692,0.1949,0.1077,0.622,0.0034,0.0034,0.0005,5.4146,4.0,7.5066,5.418,4.0039,7.5067
Recursive,2,26,26,26,25,26,0.24,0.242,0.34,0.219,0.1598,0.6885,0.0034,0.0034,0.0004,4.636,4.3711,2.7909,4.6394,4.3746,2.7908
Element-Based,3,30,30,30,28,30,0.1428,0.2976,0.3274,0.1823,0.1188,0.6784,0.0042,0.0042,0.0006,6.5022,5.075,8.4384,6.5075,5.0819,8.4389
MaxMin Semantic,3,30,30,30,29,30,0.1609,0.319,0.3161,0.203,0.1176,0.645,0.004,0.0037,0.001,6.8661,5.0764,9.9187,6.8701,5.0814,9.9187
Recursive,3,30,30,30,29,30,0.1839,0.2603,0.3966,0.1995,0.1336,0.7011,0.004,0.004,0.0005,5.0335,5.5842,2.5725,5.0376,5.5875,2.5727
Element-Based,4,30,30,30,28,30,0.1518,0.3744,0.3542,0.2005,0.1198,0.698,0.0037,0.0037,0.0004,6.5035,5.1964,5.6804,6.5086,5.2002,5.6805
MaxMin Semantic,4,30,30,30,29,30,0.1466,0.3948,0.342,0.2022,0.1195,0.6564,0.0037,0.0034,0.0016,6.4697,5.0272,7.4143,6.4735,5.0308,7.4142
Recursive,4,30,30,30,29,30,0.1638,0.3293,0.4224,0.2044,0.1379,0.7162,0.0035,0.0036,0.0005,5.1888,5.8907,2.6028,5.1924,5.8943,2.603
Element-Based,5,30,30,30,28,30,0.1286,0.3923,0.3542,0.1814,0.112,0.7008,0.0037,0.0036,0.0004,6.7308,5.2951,5.6222,6.7362,5.2986,5.6222
MaxMin Semantic,5,30,30,30,29,30,0.131,0.4466,0.3488,0.1931,0.1138,0.6507,0.0034,0.0033,0.0005,6.0943,4.7831,4.6893,6.0978,4.7867,4.6893
Recursive,5,30,30,30,29,30,0.1448,0.3523,0.4293,0.1933,0.1467,0.6785,0.0034,0.0035,0.0004,4.7737,4.5993,2.8063,4.7772,4.6028,2.8063
Element-Based,6,30,30,30,28,30,0.125,0.4518,0.3661,0.1845,0.115,0.7161,0.004,0.0039,0.0004,8.7185,5.4593,12.8253,8.7246,5.4696,12.825
MaxMin Semantic,6,30,30,30,29,30,0.1207,0.4925,0.3546,0.1854,0.1067,0.6485,0.0037,0.0035,0.0006,7.2256,5.2437,7.911,7.2294,5.247,7.9111
Recursive,6,30,30,30,29,30,0.1437,0.4138,0.4408,0.2007,0.137,0.6965,0.0037,0.0036,0.0004,5.1408,5.7718,2.7147,5.1446,5.7752,2.7147
Element-Based,7,30,30,30,28,30,0.1123,0.4696,0.3661,0.1719,0.1243,0.7036,0.004,0.004,0.0005,6.5392,5.5963,6.9607,6.5456,5.6006,6.9606
MaxMin Semantic,7,30,30,30,29,30,0.1035,0.4925,0.3546,0.1641,0.1233,0.6604,0.0038,0.0037,0.0004,7.2673,4.8998,9.582,7.2712,4.9036,9.5821
Recursive,7,30,30,30,29,30,0.1281,0.4207,0.4408,0.1851,0.1516,0.6995,0.0038,0.0037,0.0004,4.7689,4.7663,2.4816,4.7728,4.7696,2.4817
Element-Based,8,30,30,30,28,30,0.1071,0.5173,0.375,0.1691,0.1141,0.7036,0.004,0.004,0.0004,5.9747,5.4309,3.361,5.9811,5.4364,3.3615
MaxMin Semantic,8,30,30,30,29,30,0.0948,0.5098,0.3546,0.1541,0.1088,0.6529,0.0038,0.0038,0.0005,6.8905,6.0546,5.2373,6.8944,6.0585,5.2373
Recursive,8,30,30,30,29,30,0.1121,0.4207,0.4408,0.1675,0.1446,0.6815,0.0036,0.0036,0.0003,4.7754,4.7434,2.7567,4.779,4.7473,2.7568
Element-Based,9,30,30,30,28,30,0.0952,0.5173,0.375,0.1537,0.1092,0.7128,0.0044,0.0043,0.0005,7.0784,5.9087,6.1635,7.0857,5.914,6.1632
MaxMin Semantic,9,30,30,30,29,30,0.0881,0.527,0.3584,0.1461,0.1128,0.6505,0.0038,0.0038,0.0004,7.1605,5.3088,6.7337,7.1644,5.3132,6.7337
Recursive,9,30,30,30,29,30,0.0996,0.4207,0.4408,0.153,0.1488,0.693,0.0038,0.0038,0.0004,5.0226,4.7974,2.9593,5.0265,4.8017,2.9593
Element-Based,10,30,30,30,28,30,0.0893,0.5292,0.3786,0.1464,0.1201,0.7125,0.0046,0.0046,0.0005,6.6007,5.2218,7.2826,6.6086,5.2344,7.2823
MaxMin Semantic,10,30,30,30,29,30,0.0828,0.5443,0.3619,0.1394,0.1149,0.6638,0.004,0.0039,0.0004,7.0008,4.9611,9.3102,7.0049,4.9655,9.3102
Recursive,10,30,30,30,29,30,0.0966,0.4379,0.4408,0.1507,0.1309,0.6835,0.0038,0.0037,0.0005,5.1345,4.8923,3.0922,5.1383,4.896,3.0923
