Top-k,Metode Chunking,Precision@k,Recall@k,MRR
5,Element-Based Chunking,0.1285714285714286,0.3922607142857143,0.35416428571428565
5,Max-Min Semantic Chunking,0.1310344827586207,0.446551724137931,0.34884827586206896
5,Recursive Chunking,0.14482758620689656,0.35229655172413793,0.4293103448275862
6,Element-Based Chunking,0.12501071428571428,0.4517857142857143,0.36607142857142855
6,Max-Min Semantic Chunking,0.12070689655172413,0.4925275862068966,0.35459655172413795
6,Recursive Chunking,0.14369310344827585,0.41379310344827586,0.44080689655172417
7,Element-Based Chunking,0.11226071428571428,0.46964285714285714,0.36607142857142855
7,Max-Min Semantic Chunking,0.10347241379310346,0.4925275862068966,0.35459655172413795
7,Recursive Chunking,0.1281,0.42068965517241375,0.44080689655172417
8,Element-Based Chunking,0.10714285714285714,0.5172607142857143,0.375
8,Max-Min Semantic Chunking,0.09482758620689655,0.5097689655172414,0.35459655172413795
8,Recursive Chunking,0.11206896551724138,0.42068965517241375,0.44080689655172417
9,Element-Based Chunking,0.09522857142857144,0.5172607142857143,0.375
9,Max-Min Semantic Chunking,0.08811379310344827,0.5270103448275862,0.3584275862068965
9,Recursive Chunking,0.09960689655172414,0.42068965517241375,0.44080689655172417
10,Element-Based Chunking,0.08928571428571429,0.5291642857142856,0.37857142857142856
10,Max-Min Semantic Chunking,0.08275862068965517,0.5442517241379311,0.36187586206896555
10,Recursive Chunking,0.09655172413793105,0.4379310344827586,0.44080689655172417
